% interestacl94stopwords.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword String
@attribute nextword String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag String
@attribute nexttag String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'place','shareholders','X','risk','X','NULL','VB','NNS','POS','NN','X','NULL','interest4'
'X','payments','minority','X','came','220X6','X','NNS','NN','X','VBD','AB','interest5'
'represent','X','public','X','nXt','badly','VBP','X','JJ','X','RB','RB','interest4'
'X','nXt','badly','X','either','X','X','RB','RB','X','RB','X','interest4'
'NULL','NULL','among','X','pritzkers','control','NULL','NULL','IN','X','NP','NN','interest5'
'florida','session','particular','landmark','florida','supreme','NP','NN','JJ','NN','NP','NP','interest2'
'thenXrampant','inflation','soaring','rates','continued','pace','JJ','NN','VBG','NNS','VBD','NN','interest6'
'zeroXcoupon','bonds','pay','issued','deep','discount','JJ','NNS','VBP','VBN','JJ','NN','interest6'
'mining','finance','concern','40','gold','mining','NN','NN','NN','AB','NN','NN','interest5'
'west','germany','hike','rates','100','basis','NP','NP','VB','NNS','AB','NN','interest6'
'possibility','acquiring','minority','jaguar','plc','assist','NN','VBG','NN','NP','NP','VB','interest5'
'said','sold','equity','three','south','african','VBD','VBD','NN','AB','NP','NP','interest5'
'unit','held','nonXcontrolling','companies','since','1968','NN','VBN','JJ','NNS','IN','AB','interest5'
'pressure','away','reduce','payments','X','NULL','NN','RB','VB','NNS','X','NULL','interest6'
'payment','plan','X','would','accrue','X','NN','NN','X','MD','VB','X','interest6'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'X','5X6','million','expenses','X','NULL','X','AB','AB','NNS','X','NULL','interest6'
'including','price','changes','income','X','28','VBG','NN','NNS','NN','X','AB','interest6'
'X','50','year','income','X','NULL','X','AB','NN','NN','X','NULL','interest6'
'including','price','changes','income','X','municipal','VBG','NN','NNS','NN','X','JJ','interest6'
'potent','lobbyists','defend','X','NULL','NULL','JJ','NNS','VB','X','NULL','NULL','interest4'
'said','boost','british','rates','last','week','VBD','NN','JJ','NNS','JJ','NN','interest6'
'market','concerns','rising','rates','possible','recession','NN','NNS','VBG','NNS','JJ','NN','interest6'
'along','current','high','rates','X','could','IN','JJ','JJ','NNS','X','MD','interest6'
'week','Xs','jump','rates','X','NULL','NN','POS','NN','NNS','X','NULL','interest6'
'getting','support','general','airline','sector','uXsX','VBG','NN','JJ','NN','NN','NP','interest1'
'week','Xs','increases','rates','europe','X','NN','POS','NNS','NNS','NP','X','interest6'
'price','changes','plus','income','X','NULL','NN','NNS','CC','NN','X','NULL','interest6'
'mild','resurgence','investor','foreign','government','bonds','JJ','NN','NN','JJ','NN','NNS','interest1'
'last','week','raised','rates','X','NULL','JJ','NN','VBD','NNS','X','NULL','interest6'
'prapas','contends','foreign','rates','probably','peaked','NP','VBZ','JJ','NNS','RB','VBN','interest6'
'could','soon','lower','rates','counter','fresh','MD','RB','VB','NNS','VB','JJ','interest6'
'NULL','expectations','falling','rates','sparked','friday','NULL','NNS','VBG','NNS','VBN','NP','interest6'
'pressures','economy','keeping','rates','high','increased','NNS','NN','VBG','NNS','JJ','VBN','interest6'
'increased','burden','corporate','payments','X','NULL','VBN','NN','JJ','NNS','X','NULL','interest6'
'session','lows','X','blue','chips','technology','NN','NNS','X','JJ','NNS','NN','interest1'
'lending','money','pay','guise','controversial','X','VBG','NN','VB','NN','JJ','X','interest6'
'precedence','shareholders','X','extremely','dangerous','free','NN','NNS','POS','RB','JJ','JJ','interest4'
'NULL','believes','investor','might','broaden','secondXtier','NULL','VBZ','NN','MD','VB','JJ','interest1'
'executive','X','attracted','two','investment','partnerships','NP','X','VBN','AB','NN','NNS','interest1'
'considering','taking','minority','company','X','NULL','VBG','VBG','NN','NN','X','NULL','interest5'
'interpreted','ford','Xs','prelude','hostile','takeover','VBN','NP','POS','NN','JJ','NN','interest1'
'week','may','generated','stock','X','NULL','NN','MD','VBN','NN','X','NULL','interest1'
'week','Xs','coordinated','rate','increases','europe','NN','POS','VBN','NN','NNS','NP','interest6'
'britain','Xs','high','rate','policy','prompt','NP','POS','JJ','NN','NN','VB','interest6'
'X','traders','disillusioned','rate','hike','beginning','X','NNS','VBN','NN','NN','VBG','interest6'
'firm','X','despite','rate','increases','europe','JJ','X','IN','NN','NNS','NP','interest6'
'NULL','NULL','X','corporate','sector','X','NULL','NULL','X','JJ','NN','X','interest1'
'bailout','X','including','X','expected','roughly','NN','X','VBG','X','VBN','RB','interest6'
'pay','lowest','possible','rate','X','amount','VB','JJS','JJ','NN','X','NN','interest6'
'NULL','NULL','high','rates','X','example','NULL','NULL','JJ','NNS','X','NN','interest6'
'largely','reflects','additional','expense','related','shareXrepurchase','RB','VBZ','JJ','NN','VBN','JJ','interest6'
'X','plus','accrued','X','NULL','NULL','X','CC','JJ','X','NULL','NULL','interest6'
'continues','X','uXsX','could','hurt','X','VBZ','X','NP','MD','VBN','X','interest4'
'policy','hurts','uXsX','X','NULL','NULL','NN','VBZ','NP','X','NULL','NULL','interest4'
'X','well','X','X','NULL','NULL','X','RB','X','X','NULL','NULL','interest4'
'montrealXbased','holding','company','telecommunications','X','gas','JJ','NN','NN','NNS','X','NN','interest5'
'loan','X','annual','running','prime','prime','NN','X','JJ','VBG','JJ','JJ','interest6'
'school','Xs','athletic','X','X','iXeX','NN','POS','JJ','X','X','FW','interest4'
'year','widerXthanXnormal','spread','rates','good','economic','NN','JJ','NN','NNS','JJ','JJ','interest6'
'national','city','Xs','income','loans','cost','NP','NP','POS','NN','NNS','NN','interest6'
'year','show','improvement','margin','loan','rates','NN','VB','NN','NN','NN','NNS','interest6'
'half','kept','shortXterm','rates','relatively','high','NN','VBD','JJ','NNS','RB','JJ','interest6'
'tied','prime','shortXterm','rates','X','said','VBN','JJ','JJ','NNS','X','VBD','interest6'
'X','partly','belowXmarket','rates','X','said','X','RB','JJ','NNS','X','VBD','interest6'
'sufficient','pay','cash','obligations','foreseeable','future','JJ','VB','NN','NNS','JJ','NN','interest6'
'1989','X','whereas','savings','selling','parks','AB','X','IN','NNS','VBG','NNS','interest6'
'115','million','reduced','expense','X','NULL','AB','AB','JJ','NN','X','NULL','interest6'
'since','failed','make','payments','june','nearly','IN','VBD','VB','NNS','NP','RB','interest6'
'demanded','books','recognized','women','X','minorities','VBD','NNS','VBD','NNS','X','NNS','interest3'
'group','Xs','X','best','served','exploring','NN','POS','X','RB','VBN','VBG','interest4'
'toward','obtaining','controlling','company','X','NULL','IN','VBG','NN','NN','X','NULL','interest5'
'missed','cX','400X000','payment','cX','6','VBD','X','AB','NN','X','AB','interest6'
'X','make','sure','business','arrangement','X','X','VB','JJ','NN','NN','X','interest1'
'attract','little','customer','X','would','leave','VBP','JJ','NN','X','MD','VB','interest1'
'kidder','peabody','still','becoming','market','makers','NP','NP','RB','VBG','NN','NNS','interest1'
'stock','basket','risky','public','X','NULL','NN','NN','JJ','NN','X','NULL','interest4'
'25','%','voting','uXsX','airlines','say','AB','NN','NN','NP','NNS','VBP','interest5'
'investments','help','hold','rates','X','NULL','NNS','VBP','VB','NNS','X','NULL','interest6'
'national','security','strategic','X','X','uXsX','JJ','NN','JJ','X','X','NP','interest4'
'dutch','X','stepping','uXsX','airlines','X','NPS','X','VBG','NP','NNS','X','interest5'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'levels','violate','public','X','NULL','NULL','NNS','VBP','JJ','X','NULL','NULL','interest4'
'NULL','NULL','NULL','1','point','threeXmonth','NULL','NULL','NULL','AB','NN','JJ','interest6'
'NULL','NULL','NULL','rates','generally','declining','NULL','NULL','NULL','NNS','RB','VBG','interest6'
'NULL','NULL','NULL','rates','continue','downward','NULL','NULL','NULL','NNS','VB','RB','interest6'
'bush','taken','special','one','issue','X','NP','VBN','JJ','AB','NN','X','interest1'
'issue','combines','personal','sense','political','savvy','NN','VBZ','JJ','NN','JJ','NN','interest1'
'dyslexia','X','always','education','X','NULL','NN','X','RB','NN','X','NULL','interest1'
'international','pressure','reduce','rates','bring','dollar','JJ','NN','VB','NNS','VB','NN','interest6'
'central','bank','lower','rates','coming','weeks','JJ','NN','JJR','NNS','VBG','NNS','interest6'
'NULL','fed','sets','rate','policy','X','NULL','NP','VBZ','NN','NN','X','interest6'
'NULL','NULL','lower','rates','reduce','upward','NULL','NULL','JJR','NNS','VBP','JJ','interest6'
'pressure','dollar','raising','rates','last','week','NN','NN','VBG','NNS','JJ','NN','interest6'
'consistent','advocate','lowering','rates','help','domestic','JJ','NN','VBG','NNS','VB','JJ','interest6'
'lean','toward','lower','rates','economic','conditions','VB','IN','JJR','NNS','JJ','NNS','interest6'
'companies','individuals','expressed','purchasing','principal','assets','NNS','NNS','VBN','VBG','JJ','NNS','interest1'
'average','oneXpercentageXpoint','drop','rates','X','good','NP','JJ','NN','NNS','X','JJ','interest6'
'X','fees','best','clients','X','NULL','X','NNS','JJS','NNS','X','NULL','interest4'
'federal','reserve','cut','rates','coming','weeks','NP','NP','VB','NNS','VBG','NNS','interest6'
'X','think','longXterm','rates','wo','nXt','X','VBP','JJ','NNS','MD','RB','interest6'
'expects','fed','drive','rate','federal','funds','VBZ','NP','VB','NN','JJ','NNS','interest6'
'certainly','increases','odds','rates','move','lower','RB','VBZ','NNS','NNS','VB','RBR','interest6'
'NULL','NULL','NULL','rates','tumbled','news','NULL','NULL','NULL','NNS','VBD','NN','interest6'
'NULL','NULL','shortXterm','rates','fell','especially','NULL','NULL','JJ','NNS','VBD','RB','interest6'
'around','country','drum','shares','X','NULL','IN','NN','VB','NNS','X','NULL','interest1'
'sharp','rise','european','rates','last','week','JJ','NN','JJ','NNS','JJ','NN','interest6'
'strain','high','real','rates','leave','consumers','NN','JJ','JJ','NNS','VBP','NNS','interest6'
'stocks','warehouses','usual','X','NULL','NULL','NNS','NNS','JJ','X','NULL','NULL','interest1'
'NULL','NULL','NULL','stocks','nXt','fully','NULL','NULL','NULL','NNS','RB','RB','interest1'
'NULL','instead','looking','rates','X','inflation','NULL','RB','VBG','NNS','X','NN','interest6'
'optimism','prospects','lower','rates','helped','push','NN','NNS','JJR','NNS','VBD','VB','interest6'
'another','step','lower','rates','X','NULL','DT','NN','VB','NNS','X','NULL','interest6'
'accumulating','shares','may','buying','company','Xs','VBG','NNS','MD','VBG','NN','POS','interest1'
'resisting','pressure','cut','rates','X','though','VBG','NN','VB','NNS','X','IN','interest6'
'effectively','borrowing','pay','dividends','X','NULL','RB','VBG','VB','NNS','X','NULL','interest6'
'X','along','annual','X','120','million','X','IN','JJ','X','AB','AB','interest6'
'fall','partnership','loses','X','NULL','NULL','VB','NN','VBZ','X','NULL','NULL','interest1'
'said','fear','higher','rates','prompted','investors','VBD','NN','JJR','NNS','VBD','NNS','interest6'
'NULL','surge','buying','jaguar','saatchi','X','NULL','NN','VBG','NP','NP','CC','interest1'
'players','said','rise','rates','X','though','NNS','VBD','NN','NNS','X','IN','interest6'
'going','use','high','rate','medicine','X','VBG','VB','JJ','NN','NN','X','interest6'
'24','%','beneficial','french','luxury','goods','AB','NN','JJ','JJ','NN','NNS','interest5'
'gradual','reduction','uXsX','rates','X','NULL','JJ','NN','NP','NNS','X','NULL','interest6'
'values','eroded','rising','rates','X','NULL','NNS','VBN','VBG','NNS','X','NULL','interest6'
'price','change','plus','income','X','Xinterest','NN','NN','CC','NN','X','NN','interest6'
'NULL','NULL','NULL','payments','included','X','NULL','NULL','NULL','NNS','VBN','X','interest6'
'NULL','NULL','rising','rates','X','meanwhile','NULL','NULL','VBG','NNS','X','RB','interest6'
'bond','funds','fall','rates','rise','X','NN','NNS','VBP','NNS','VB','X','interest6'
'discount','nXt','pay','mature','X','NULL','NN','RB','VB','VBP','X','NULL','interest6'
'NULL','NULL','NULL','rates','rising','bit','NULL','NULL','NULL','NNS','VBG','NN','interest6'
'X','accompanied','lower','rates','X','NULL','X','VBN','JJR','NNS','X','NULL','interest6'
'X','course','X','rates','rise','instead','X','NN','X','NNS','VBP','RB','interest6'
'X','function','national','case','war','X','X','VB','JJ','NN','NN','X','interest4'
'debt','levels','high','rates','X','durableXgoods','NN','NNS','JJ','NNS','X','NNS','interest6'
'attributed','gains','strong','women','Xs','sportswear','VBD','NNS','JJ','NNS','POS','NN','interest1'
'NULL','NULL','nonXsteel','X','currently','contribute','NULL','NULL','JJ','X','RB','VBP','interest5'
'britain','Xs','high','rates','X','NULL','NP','POS','JJ','NNS','X','NULL','interest6'
'NULL','NULL','X','acquiring','bX','altman','NULL','NULL','X','VBG','NP','NP','interest1'
'hooker','Xs','majority','specialty','chain','X','NP','POS','NN','NN','NN','X','interest5'
'already','sold','majority','parisian','incX','X','RB','VBN','NN','NP','NP','X','interest5'
'X','failed','make','payments','june','nearly','X','VBN','VB','NNS','NP','RB','interest6'
'53','million','average','rate','9X3','%','AB','AB','JJ','NN','AB','NN','interest6'
'sold','10','%','productionXsharing','contract','indonesia','VBD','AB','NN','NN','NN','NP','interest5'
'said','sale','lowered','contract','24X3','%','VBD','NN','VBD','NN','AB','NN','interest5'
'increasing','repsol','Xs','12X45','%','X','VBG','NP','POS','AB','NN','X','interest5'
'us','retain','sizable','northwest','java','contract','PP','VB','JJ','NP','NP','NN','interest5'
'case','X','public','herbal','medicine','rising','NN','X','JJ','JJ','NN','VBG','interest1'
'clients','X','best','priority','actively','live','NNS','POS','JJS','NN','RB','VB','interest4'
'X','cited','higher','rates','junk','bonds','X','VBD','JJR','NNS','NN','NNS','interest6'
'corporate','bonds','sent','rates','issues','climbing','JJ','NNS','VBN','NNS','NNS','VBG','interest6'
'X','higher','corporate','payments','moderating','spending','X','JJR','JJ','NNS','VBG','NN','interest6'
'reserve','ease','shortXterm','rates','soon','X','NP','VB','JJ','NNS','RB','X','interest6'
'bundesbank','announced','pushing','rates','full','percentage','NP','VBD','VBG','NNS','JJ','NN','interest6'
'political','influence','withhold','payments','state','bank','JJ','NN','VB','NNS','NN','NN','interest6'
'goal','maintaining','protected','X','NULL','NULL','NN','VBG','JJ','X','NULL','NULL','interest4'
'also','said','expects','rates','drop','X','RB','VBD','VBZ','NNS','VB','X','interest6'
'attributed','activity','drop','rates','X','NULL','VBD','NN','NN','NNS','X','NULL','interest6'
'NULL','NULL','NULL','bonds','due','2022','NULL','NULL','NULL','NNS','JJ','AB','interest6'
'bought','sizable','minority','telemunchen','X','west','VBD','JJ','NN','NP','X','JJ','interest5'
'NULL','NULL','NULL','uniformity','X','large','NULL','NULL','NULL','NN','X','JJ','interest4'
'clogged','market','high','rates','X','NULL','VBD','NN','JJ','NNS','X','NULL','interest6'
'kansan','developed','deep','eastern','europe','soviet','NP','VBD','JJ','NP','NP','NP','interest1'
'NULL','despite','long','soviet','union','X','NULL','IN','JJ','NP','NP','X','interest1'
'mexico','cuts','debt','payments','X','NULL','NP','NNS','NN','NNS','X','NULL','interest6'
'option','cutting','debt','payments','providing','new','NN','VBG','NN','NNS','VBG','JJ','interest6'
'stations','nXt','expressed','moving','prime','time','NNS','RB','VBN','VBG','JJ','NN','interest1'
'NULL','remainder','debt','X','NULL','NULL','NULL','NN','NN','X','NULL','NULL','interest6'
'service','laced','parochial','X','NULL','NULL','NP','VBN','JJ','X','NULL','NULL','interest4'
'par','plus','accrued','purchase','date','X','NN','CC','VBN','NN','NN','X','interest6'
'Xs','cash','annual','bill','X','155','POS','NN','JJ','NN','X','AB','interest6'
'figures','nXt','include','X','600','million','NNS','RB','VB','X','AB','AB','interest6'
'start','paying','cash','several','years','X','VB','VBG','NN','JJ','NNS','X','interest6'
'hbj','problem','meeting','principal','payments','X','NP','NN','VBG','JJ','NNS','X','interest6'
'democrat','Xs','expressed','X','mrX','janson','NP','VBZ','VBN','X','NP','NP','interest1'
'mrX','trump','Xs','amr','X','rumored','NP','NP','POS','NP','X','VBN','interest1'
'uncertainty','effects','round','rate','increases','west','NN','NNS','NN','NN','NNS','NP','interest6'
'NULL','NULL','NULL','takeover','stocks','boosted','NULL','NULL','NULL','NN','NNS','VBD','interest1'
'rosewood','denied','takeover','X','saying','merely','NP','VBN','NN','X','VBG','RB','interest1'
'sharp','rise','foreign','rates','X','NULL','JJ','NN','JJ','NNS','X','NULL','interest6'
'bank','signaled','rise','rates','X','causing','NN','VBD','NN','NNS','X','VBG','interest6'
'NULL','NULL','X','rates','X','X','NULL','NULL','X','NNS','X','X','interest6'
'attracted','broad','investor','quickly','snapped','X','VBD','JJ','NN','RB','VBN','X','interest1'
'lower','bundesbank','raised','rates','X','NULL','JJR','NP','VBD','NNS','X','NULL','interest6'
'nXt','fall','sharply','rate','hikes','widely','RB','VB','RB','NN','NNS','RB','interest6'
'NULL','NULL','open','figures','released','coffee','NULL','NULL','JJ','NNS','VBN','NP','interest5'
'NULL','NULL','open','number','contracts','either','NULL','NULL','JJ','NN','NNS','RB','interest5'
'agreed','acquire','equity','geographic','systems','X','VBD','VB','NN','NP','NP','X','interest5'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'dollar','strengthened','despite','rate','increases','europe','NN','VBD','IN','NN','NNS','NP','interest6'
'expecting','bundesbank','raise','rates','X','full','VBG','NP','VB','NNS','X','JJ','interest6'
'willing','let','market','rates','edge','higher','JJ','VB','NN','NNS','VB','RBR','interest6'
'relatively','high','uXsX','rates','compared','germany','RB','JJ','NP','NNS','VBN','NP','interest6'
'purchase','60','%','cit','group','holdings','NN','AB','NN','NP','NP','NP','interest5'
'attorney','Xs','fees','costs','X','NULL','NN','POS','NNS','NNS','X','NULL','interest6'
'12Xnation','community','share','stability','avoiding','oilXprice','JJ','NN','VBP','NN','VBG','JJ','interest1'
'NULL','tokyo','X','rate','worries','muted','NULL','NP','X','NN','NNS','JJ','interest6'
'profits','harmed','high','rates','X','NULL','NNS','VBN','JJ','NNS','X','NULL','interest6'
'go','making','higher','rates','nXt','going','VB','VBG','JJR','NNS','RB','VBG','interest6'
'expectations','west','german','rate','increase','encouraged','NNS','JJ','JJ','NN','NN','VBD','interest6'
'refiners','attracted','buying','local','news','report','NNS','VBD','NN','JJ','NN','NN','interest1'
'%','payments','minority','1X37','billion','francs','NN','NNS','NN','AB','AB','NNS','interest5'
'NULL','NULL','pressure','rates','stiff','competition','NULL','NULL','NN','NNS','JJ','NN','interest6'
'profit','taxes','minority','special','items','rose','NN','NNS','NN','JJ','NNS','VBD','interest5'
'bundesbank','raised','official','rates','full','percentage','NP','VBD','JJ','NNS','JJ','NN','interest6'
'germany','Xs','benchmark','rates','highest','level','NP','POS','JJ','NNS','JJS','NN','interest6'
'swapping','columbia','Xs','burbank','studio','old','VBG','NP','POS','NP','NN','JJ','interest5'
'X','50','million','films','X','batman','X','AB','AB','NNS','X','NP','interest5'
'X','200','million','X','depreciation','taxes','X','AB','AB','X','NN','NNS','interest6'
'NULL','NULL','profits','X','taxes','depcreciation','NULL','NULL','NNS','X','NNS','NN','interest6'
'tax','deductibility','certain','payments','originalXissue','discounts','NN','NN','JJ','NNS','JJ','NNS','interest6'
'amount','plus','accrued','X','20','per','NN','CC','JJ','X','AB','IN','interest6'
'airline','industry','public','X','NULL','NULL','NN','NN','JJ','X','NULL','NULL','interest4'
'real','blow','public','X','NULL','NULL','JJ','NN','JJ','X','NULL','NULL','interest4'
'six','times','earnings','X','taxes','X','AB','NNS','NNS','X','NNS','X','interest6'
'X','might','nXt','shareholders','X','noting','X','MD','RB','NNS','X','VBG','interest4'
'airline','industry','public','X','NULL','NULL','NN','NN','JJ','X','NULL','NULL','interest4'
'NULL','company','defaulted','payments','sept','X','NULL','NN','VBD','NNS','NP','X','interest6'
'another','increase','british','rates','X','11th','DT','NN','JJ','NNS','X','JJ','interest6'
'bundesbank','boost','key','rates','X','NULL','NP','VB','JJ','NNS','X','NULL','interest6'
'Xs','got','left','rates','X','X','POS','VBN','JJ','NNS','X','X','interest6'
'attacked','problem','raising','rates','consumers','buy','VBN','NN','VBG','NNS','NNS','VBP','interest6'
'peril','continuous','ratcheting','rates','produce','punishing','NN','JJ','VBG','NNS','VB','JJ','interest6'
'clients','substantial','emotional','stake','X','NULL','NNS','JJ','JJ','NN','X','NULL','interest1'
'NULL','NULL','NULL','rates','credit','prohibitive','NULL','NULL','NULL','NNS','NN','JJ','interest6'
'gold','payments','principal','required','gold','bonds','JJ','NNS','NN','VBN','JJ','NNS','interest6'
'promise','pay','principal','gold','X','NULL','NN','VB','NN','NN','X','NULL','interest6'
'credit','lowest','possible','rate','X','NULL','NN','JJS','JJ','NN','X','NULL','interest6'
'would','lowest','governmental','rate','earth','X','MD','JJS','JJ','NN','NN','X','interest6'
'goldXbacked','bonds','X','bonds','could','expected','JJ','NNS','X','NNS','MD','VBN','interest6'
'NULL','NULL','NULL','rate','would','soviet','NULL','NULL','NULL','NN','MD','JJ','interest6'
'%','X','expected','rate','would','initially','NN','X','VBN','NN','MD','RB','interest6'
'take','proportionally','higher','rates','stabilize','rate','VB','RB','JJR','NNS','VB','NN','interest6'
'expected','X','X','payment','X','coming','VBN','X','X','NN','X','VBG','interest6'
'would','paid','lower','rate','X','order','MD','VBN','JJR','NN','X','NN','interest6'
'insurance','X','bonus','rates','good','first','NN','X','NN','NNS','JJ','JJ','interest6'
'NULL','people','express','certificates','receive','detailed','NULL','NNS','VBP','NNS','VBP','VBN','interest1'
'express','obviously','big','protecting','reputation','X','NP','RB','JJ','VBG','NN','X','interest4'
'augmented','eyeXcatching','firstXyear','rate','12','%','VBN','JJ','JJ','NN','AB','NN','interest6'
'NULL','NULL','offer','rates','fixed','time','NULL','NULL','VBP','NNS','VBN','NN','interest6'
'objects','committee','Xs','X','NULL','NULL','NNS','NN','POS','X','NULL','NULL','interest3'
'brokers','seeking','high','rates','contributed','current','NNS','VBG','JJ','NNS','VBD','JJ','interest6'
'zeroXcoupon','securities','pay','periodically','X','NULL','JJ','NNS','VB','RB','X','NULL','interest6'
'e','X','current','bonds','due','1993X1999','NP','X','JJ','NNS','JJ','AB','interest6'
'NULL','NULL','NULL','bonds','treated','preference','NULL','NULL','NULL','NNS','VBN','NN','interest6'
'homeowners','must','make','shortfalls','cash','X','NNS','MD','VB','NNS','NN','X','interest6'
'foresters','express','great','knowing','redwoods','mention','NNS','VBP','JJ','VBG','NNS','VBP','interest1'
'sharpened','fears','uXkX','rates','might','soon','VBD','NNS','NP','NNS','MD','RB','interest6'
'NULL','said','prospective','rate','increase','bundesbank','NULL','VBD','JJ','NN','NN','NP','interest6'
'NULL','NULL','investor','yesterday','centered','companies','NULL','NULL','NN','NN','VBD','NNS','interest1'
'NULL','NULL','investor','X','blossomed','early','NULL','NULL','NN','X','VBD','JJ','interest1'
'increase','west','german','rates','would','put','NN','JJ','JJ','NNS','MD','VB','interest6'
'Xinterested','buying','brewing','leisure','X','food','VBN','VBG','NN','NN','X','NN','interest5'
'slim','total','return','income','X','NULL','JJ','JJ','NN','NN','X','NULL','interest6'
'NULL','NULL','rising','rates','also','hammered','NULL','NULL','VBG','NNS','RB','VBD','interest6'
'discount','nXt','pay','mature','X','thus','NN','RB','VB','VBP','X','RB','interest6'
'15','months','rising','rates','X','NULL','AB','NNS','VBG','NNS','X','NULL','interest6'
'inflationary','signs','X','rates','remain','high','JJ','NNS','X','NNS','VB','JJ','interest6'
'bundesbank','push','shortXterm','rates','higher','today','NP','VB','JJ','NNS','RBR','NN','interest6'
'left','pursue','personal','X','NULL','NULL','VBD','VB','JJ','X','NULL','NULL','interest3'
'steady','sales','meet','payments','valued','highly','JJ','NNS','VB','NNS','VBN','RB','interest6'
'nXt','incurred','hefty','expense','debt','load','RB','VBN','JJ','NN','NN','NN','interest6'
'project','moves','academic','X','NULL','NULL','NN','VBZ','JJ','X','NULL','NULL','interest1'
'protect','maintaining','security','property','participating','management','VB','VBG','NN','NN','VBG','NN','interest5'
'overseas','studies','draw','colleges','fall','X','JJ','NNS','VBP','NNS','NN','X','interest1'
'taking','japanese','sheer','X','X','says','VBG','NP','JJ','X','X','VBZ','interest1'
'expects','increase','german','rates','X','NULL','VBZ','NN','JJ','NNS','X','NULL','interest6'
'said','X','shortXterm','rates','picked','little','VBD','X','JJ','NNS','VBN','JJ','interest6'
'money','managers','think','rates','headed','X','NN','NNS','VBP','NNS','VBN','X','interest6'
'compound','yield','assumes','rate','remains','unchanged','NN','NN','VBZ','NN','VBZ','JJ','interest6'
'plus','3','%','X','NULL','NULL','IN','AB','NN','X','NULL','NULL','interest6'
'consistent','professional','personal','X','NULL','NULL','JJ','JJ','JJ','X','NULL','NULL','interest3'
'corpX','agreed','buy','payXperXview','network','incX','NP','VBD','VB','NP','NP','NP','interest5'
'resigned','X','reXevaluate','goals','explore','number','VBD','X','JJ','NNS','VB','NN','interest3'
'issues','sensitive','changes','rates','X','biggest','NNS','JJ','NNS','NNS','X','JJS','interest6'
'X','brought','high','rates','rising','wage','X','VBD','JJ','NNS','VBG','NN','interest6'
'tuesday','X','stirred','among','bottomXfishers','X','NP','X','VBD','IN','NNS','X','interest1'
'client','X','exchange','reconstructed','restaurant','X','NN','X','NN','JJ','NN','X','interest5'
'protect','funds','important','X','NULL','NULL','VB','NNS','JJ','X','NULL','NULL','interest4'
'australian','newspaper','perth','bell','resources','ltd','JJ','NN','NP','NP','NP','NP','interest5'
'1999','accrued','unpaid','X','together','1989','AB','JJ','JJ','X','RB','AB','interest6'
'X','failed','make','payments','nearly','X','X','VBD','VB','NNS','RB','X','interest6'
'news','economy','foreign','rates','X','NULL','NN','NN','JJ','NNS','X','NULL','interest6'
'X','midwest','general','keeping','american','manufacturing','X','NP','JJ','VBG','JJ','NN','interest1'
'monetary','policy','allow','rates','somewhat','lower','JJ','NN','VB','NNS','RB','JJR','interest6'
'braced','possible','increase','rates','X','NULL','VBD','JJ','NN','NNS','X','NULL','interest6'
'crewXpairing','issue','stirring','among','safety','investigators','JJ','NN','VBG','IN','NN','NNS','interest1'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'bank','said','high','rates','recent','X','NP','VBD','JJ','NNS','JJ','X','interest6'
'uXsX','foreign','annual','rates','guide','general','NP','JJ','JJ','NNS','NN','JJ','interest6'
'X','plus','accrued','novX','15','X','X','CC','JJ','NP','AB','X','interest6'
'paved','way','revival','theology','religious','philosophy','VBN','NN','NN','NN','JJ','NN','interest1'
'noting','vast','difference','X','gleefully','remarked','VBG','JJ','NN','X','RB','VBD','interest1'
'vaX','X','unsecured','rates','prime','rate','NP','X','JJ','NNS','JJ','NN','interest6'
'federal','government','reduced','rate','X','NULL','JJ','NN','JJ','NN','X','NULL','interest6'
'company','exploit','congressional','bolar','X','NULL','NN','VB','JJ','NP','X','NULL','interest1'
'might','find','study','X','X','warnerXlambert','MD','VB','NN','X','X','NP','interest2'
'Xs','counting','increasing','americans','things','soviet','VBZ','VBG','VBG','NPS','NNS','JJ','interest1'
'NULL','nepalese','expressed','obtaining','weapons','25X000Xman','NULL','NPS','VBN','VBG','NNS','JJ','interest1'
'agreement','acquire','controlling','X','management','X','NN','VB','JJ','X','NN','X','interest5'
'reserve','cut','shortXterm','rates','X','turn','NP','VB','JJ','NNS','X','NN','interest6'
'nXt','able','cut','rates','fast','enough','RB','JJ','VB','NNS','RB','RB','interest6'
'bank','raise','key','rates','least','half','NN','VB','JJ','NNS','JJS','DT','interest6'
'NULL','NULL','higher','rates','abroad','tend','NULL','NULL','JJR','NNS','RB','VBP','interest6'
'stock','offering','best','mrX','wisner','shareholders','NN','NN','JJS','NP','NP','NNS','interest4'
