% interestacl94.arff

@relation interest

@attribute prevword_3 String
@attribute prevword_2 String
@attribute prevword_1 String
@attribute nextword_1 String
@attribute nextword_2 String
@attribute nextword_3 String
@attribute prevtag_3 String
@attribute prevtag_2 String
@attribute prevtag_1 String
@attribute nexttag_1 String
@attribute nexttag_2 String
@attribute nexttag_3 String
@attribute 'Class' {'interest1', 'interest2', 'interest3', 'interest4', 'interest5', 'interest6'}

@data
'X','plus','accrued','X','NULL','NULL','X','CC','JJ','X','NULL','NULL','interest6'
'continues','X','uXsX','could','be','hurt','VBZ','X','NP','MD','VB','VBN','interest4'
'policy','hurts','uXsX','too','X','NULL','NN','VBZ','NP','RB','X','NULL','interest4'
'their','own','X','X','NULL','NULL','PPX','JJ','X','X','NULL','NULL','interest4'
'holding','company','with','in','telecommunications','X','NN','NN','IN','IN','NNS','X','interest5'
'X','with','annual','running','at','between','X','IN','JJ','VBG','IN','IN','interest6'
'school','Xs','athletic','X','X','iXeX','NN','POS','JJ','X','X','FW','interest4'
'widerXthanXnormal','spread','in','rates','and','good','JJ','NN','IN','NNS','CC','JJ','interest6'
'national','city','Xs','income','on','loans','NP','NP','POS','NN','IN','NNS','interest6'
'improvement','in','the','margin','between','loan','NN','IN','DT','NN','IN','NN','interest6'
'half','kept','shortXterm','rates','relatively','high','NN','VBD','JJ','NNS','RB','JJ','interest6'
'or','other','shortXterm','rates','X','he','CC','JJ','JJ','NNS','X','PP','interest6'
'partly','through','belowXmarket','rates','X','he','RB','IN','JJ','NNS','X','PP','interest6'
'to','pay','cash','obligations','for','the','TO','VB','NN','NNS','IN','DT','interest6'
'X','whereas','the','savings','in','selling','X','IN','DT','NNS','IN','VBG','interest6'
'million','in','reduced','expense','X','NULL','AB','IN','JJ','NN','X','NULL','interest6'
'failed','to','make','payments','in','june','VBD','TO','VB','NNS','IN','NP','interest6'
'that','recognized','the','of','women','X','WDT','VBD','DT','IN','NNS','X','interest3'
'group','Xs','X','will','be','best','NN','POS','X','MD','VB','RB','interest4'
'obtaining','a','controlling','in','the','company','VBG','DT','NN','IN','DT','NN','interest5'
'a','cX','400X000','payment','on','the','DT','X','AB','NN','IN','DT','interest6'
'they','had','no','in','a','business','PP','VBD','DT','IN','DT','NN','interest1'
'attract','little','customer','X','that','would','VBP','JJ','NN','X','WDT','MD','interest1'
'still','have','an','in','becoming','market','RB','VBP','DT','IN','VBG','NN','interest1'
'not','in','the','of','the','public','RB','IN','DT','IN','DT','NN','interest4'
'25','%','voting','in','uXsX','airlines','AB','NN','NN','IN','NP','NNS','interest5'
'help','hold','down','rates','X','NULL','VBP','VB','RP','NNS','X','NULL','interest6'
'or','our','strategic','X','X','uXsX','CC','PPX','JJ','X','X','NP','interest4'
'stepping','up','their','in','uXsX','airlines','VBG','RP','PPX','IN','NP','NNS','interest5'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'violate','the','public','X','NULL','NULL','VBP','DT','JJ','X','NULL','NULL','interest4'
'NULL','NULL','NULL','at','1','point','NULL','NULL','NULL','IN','AB','NN','interest6'
'NULL','NULL','NULL','rates','generally','have','NULL','NULL','NULL','NNS','RB','VBP','interest6'
'NULL','NULL','if','rates','do','continue','NULL','NULL','IN','NNS','VBP','VB','interest6'
'taken','a','special','in','one','issue','VBN','DT','JJ','IN','AB','NN','interest1'
'combines','her','personal','with','a','sense','VBZ','PPX','JJ','IN','DT','NN','interest1'
'always','had','an','in','education','X','RB','VBN','DT','IN','NN','X','interest1'
'pressure','to','reduce','rates','to','bring','NN','TO','VB','NNS','TO','VB','interest6'
'bank','to','lower','rates','in','the','NN','TO','JJR','NNS','IN','DT','interest6'
'the','fed','sets','rate','policy','X','DT','NP','VBZ','NN','NN','X','interest6'
'NULL','NULL','lower','rates','reduce','upward','NULL','NULL','JJR','NNS','VBP','JJ','interest6'
'by','raising','their','rates','last','week','IN','VBG','PPX','NNS','JJ','NN','interest6'
'advocate','of','lowering','rates','to','help','NN','IN','VBG','NNS','TO','VB','interest6'
'lean','toward','lower','rates','if','economic','VB','IN','JJR','NNS','IN','JJ','interest6'
'individuals','have','expressed','in','purchasing','the','NNS','VBP','VBN','IN','VBG','DT','interest1'
'oneXpercentageXpoint','drop','in','rates','X','the','JJ','NN','IN','NNS','X','DT','interest6'
'above','the','best','of','its','clients','IN','DT','JJS','IN','PPX','NNS','interest4'
'reserve','to','cut','rates','in','coming','NP','TO','VB','NNS','IN','VBG','interest6'
'they','think','longXterm','rates','wo','nXt','PP','VBP','JJ','NNS','MD','RB','interest6'
'drive','down','the','rate','on','federal','VB','IN','DT','NN','IN','JJ','interest6'
'the','odds','that','rates','will','move','DT','NNS','IN','NNS','MD','VB','interest6'
'NULL','NULL','NULL','rates','tumbled','on','NULL','NULL','NULL','NNS','VBD','IN','interest6'
'NULL','NULL','shortXterm','rates','fell','especially','NULL','NULL','JJ','NNS','VBD','RB','interest6'
'to','drum','up','in','its','shares','TO','VB','IN','IN','PPX','NNS','interest1'
'rise','in','european','rates','last','week','NN','IN','JJ','NNS','JJ','NN','interest6'
'of','high','real','rates','leave','consumers','IN','JJ','JJ','NNS','VBP','NNS','interest6'
'than','the','usual','X','NULL','NULL','IN','DT','JJ','X','NULL','NULL','interest1'
'NULL','and','their','in','stocks','was','NULL','CC','PPX','IN','NNS','VBD','interest1'
'of','looking','at','rates','X','inflation','IN','VBG','IN','NNS','X','NN','interest6'
'prospects','for','lower','rates','helped','push','NNS','IN','JJR','NNS','VBD','VB','interest6'
'step','to','lower','rates','X','NULL','NN','TO','VB','NNS','X','NULL','interest6'
'may','have','an','in','buying','the','MD','VB','DT','IN','VBG','DT','interest1'
'pressure','to','cut','rates','X','though','NN','TO','VB','NNS','X','IN','interest6'
'borrowing','to','pay','and','dividends','X','VBG','TO','VB','CC','NNS','X','interest6'
'along','with','annual','of','about','X','IN','IN','JJ','IN','IN','X','interest6'
'the','partnership','loses','X','NULL','NULL','DT','NN','VBZ','X','NULL','NULL','interest1'
'fear','of','higher','rates','prompted','investors','NN','IN','JJR','NNS','VBD','NNS','interest6'
'surge','of','buying','in','jaguar','and','NN','IN','VBG','IN','NP','CC','interest1'
'the','rise','in','rates','X','though','DT','NN','IN','NNS','X','IN','interest6'
'use','the','high','rate','medicine','X','VB','DT','JJ','NN','NN','X','interest6'
'24','%','beneficial','in','french','luxury','AB','NN','JJ','IN','JJ','NN','interest5'
'reduction','in','uXsX','rates','X','NULL','NN','IN','NP','NNS','X','NULL','interest6'
'eroded','by','rising','rates','X','NULL','VBN','IN','VBG','NNS','X','NULL','interest6'
'price','change','plus','income','X','only','NN','NN','CC','NN','X','RB','interest6'
'NULL','NULL','if','payments','are','included','NULL','NULL','IN','NNS','VBP','VBN','interest6'
'NULL','NULL','rising','rates','X','meanwhile','NULL','NULL','VBG','NNS','X','RB','interest6'
'funds','fall','as','rates','rise','X','NNS','VBP','IN','NNS','VB','X','interest6'
'nXt','pay','any','until','they','mature','RB','VB','DT','IN','PP','VBP','interest6'
'NULL','NULL','with','rates','rising','a','NULL','NULL','IN','NNS','VBG','DT','interest6'
'accompanied','by','lower','rates','X','NULL','VBN','IN','JJR','NNS','X','NULL','interest6'
'course','X','if','rates','rise','further','NN','X','IN','NNS','VBP','RB','interest6'
'in','the','national','in','case','of','IN','DT','JJ','IN','NN','IN','interest4'
'levels','and','high','rates','X','durableXgoods','NNS','CC','JJ','NNS','X','NNS','interest6'
'gains','to','strong','in','women','Xs','NNS','TO','JJ','IN','NNS','POS','interest1'
'NULL','NULL','nonXsteel','X','which','currently','NULL','NULL','JJ','X','WDT','RB','interest5'
'britain','Xs','high','rates','X','NULL','NP','POS','JJ','NNS','X','NULL','interest6'
'there','has','been','in','acquiring','bX','EX','VBZ','VBN','IN','VBG','NP','interest1'
'hooker','Xs','majority','in','the','specialty','NP','POS','NN','IN','DT','NN','interest5'
'sold','its','majority','in','parisian','incX','VBN','PPX','NN','IN','NP','NP','interest5'
'failed','to','make','payments','in','june','VBN','TO','VB','NNS','IN','NP','interest6'
'at','an','average','rate','of','9X3','IN','DT','JJ','NN','IN','AB','interest6'
'a','10','%','in','a','productionXsharing','DT','AB','NN','IN','DT','NN','interest5'
'sale','lowered','its','in','the','contract','NN','VBD','PPX','IN','DT','NN','interest5'
'increasing','repsol','Xs','to','12X45','%','VBG','NP','POS','TO','AB','NN','interest5'
'retain','a','sizable','in','the','northwest','VB','DT','JJ','IN','DT','NP','interest5'
'case','X','public','in','herbal','medicine','NN','X','JJ','IN','JJ','NN','interest1'
'clients','X','best','a','priority','and','NNS','POS','JJS','DT','NN','CC','interest4'
'X','cited','higher','rates','on','junk','X','VBD','JJR','NNS','IN','NN','interest6'
'bonds','have','sent','rates','for','such','NNS','VBP','VBN','NNS','IN','JJ','interest6'
'X','higher','corporate','payments','and','moderating','X','JJR','JJ','NNS','CC','VBG','interest6'
'to','ease','shortXterm','rates','soon','X','TO','VB','JJ','NNS','RB','X','interest6'
'it','was','pushing','rates','up','a','PP','VBD','VBG','NNS','IN','DT','interest6'
'influence','to','withhold','payments','to','the','NN','TO','VB','NNS','TO','DT','interest6'
'maintaining','their','protected','X','NULL','NULL','VBG','PPX','JJ','X','NULL','NULL','interest4'
'said','he','expects','rates','to','drop','VBD','PP','VBZ','NNS','TO','VB','interest6'
'a','drop','in','rates','X','NULL','DT','NN','IN','NNS','X','NULL','interest6'
'NULL','NULL','NULL','on','bonds','due','NULL','NULL','NULL','IN','NNS','JJ','interest6'
'a','sizable','minority','in','telemunchen','X','DT','JJ','NN','IN','NP','X','interest5'
'NULL','in','the','of','uniformity','X','NULL','IN','DT','IN','NN','X','interest4'
'because','of','high','rates','X','NULL','IN','IN','JJ','NNS','X','NULL','interest6'
'developed','a','deep','in','eastern','europe','VBD','DT','JJ','IN','NP','NP','interest1'
'despite','his','long','in','the','soviet','IN','PPX','JJ','IN','DT','NP','interest1'
'its','debt','or','payments','X','NULL','PPX','NN','CC','NNS','X','NULL','interest6'
'cutting','debt','or','payments','or','providing','VBG','NN','CC','NNS','CC','VBG','interest6'
'nXt','expressed','an','in','moving','prime','RB','VBN','DT','IN','VBG','JJ','interest1'
'is','for','debt','X','NULL','NULL','VBZ','IN','NN','X','NULL','NULL','interest6'
'laced','with','parochial','X','NULL','NULL','VBN','IN','JJ','X','NULL','NULL','interest4'
'par','plus','accrued','to','the','purchase','NN','CC','VBN','TO','DT','NN','interest6'
'Xs','cash','annual','bill','is','about','POS','NN','JJ','NN','VBZ','IN','interest6'
'do','nXt','include','on','more','than','VBP','RB','VB','IN','JJR','IN','interest6'
'start','paying','cash','on','those','in','VB','VBG','NN','IN','DT','IN','interest6'
'problem','meeting','its','and','principal','payments','NN','VBG','PPX','CC','JJ','NNS','interest6'
'Xs','expressed','any','at','all','X','VBZ','VBN','DT','IN','DT','X','interest1'
'mrX','trump','Xs','in','amr','X','NP','NP','POS','IN','NP','X','interest1'
'a','round','of','rate','increases','in','DT','NN','IN','NN','NNS','IN','interest6'
'NULL','NULL','NULL','in','takeover','stocks','NULL','NULL','NULL','IN','NN','NNS','interest1'
'denied','any','takeover','X','saying','it','VBN','DT','NN','X','VBG','PP','interest1'
'rise','in','foreign','rates','X','NULL','NN','IN','JJ','NNS','X','NULL','interest6'
'a','rise','in','rates','X','causing','DT','NN','IN','NNS','X','VBG','interest6'
'NULL','NULL','X','rates','X','X','NULL','NULL','X','NNS','X','X','interest6'
'attracted','broad','investor','and','was','quickly','VBD','JJ','NN','CC','VBD','RB','interest1'
'the','bundesbank','raised','rates','X','NULL','DT','NP','VBD','NNS','X','NULL','interest6'
'fall','sharply','because','rate','hikes','were','VB','RB','IN','NN','NNS','VBD','interest6'
'NULL','NULL','open','figures','released','by','NULL','NULL','JJ','NNS','VBN','IN','interest5'
'NULL','NULL','open','is','the','number','NULL','NULL','JJ','VBZ','DT','NN','interest5'
'acquire','an','equity','in','geographic','systems','VB','DT','NN','IN','NP','NP','interest5'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'dollar','strengthened','despite','rate','increases','in','NN','VBD','IN','NN','NNS','IN','interest6'
'bundesbank','to','raise','rates','X','a','NP','TO','VB','NNS','X','DT','interest6'
'to','let','market','rates','edge','higher','TO','VB','NN','NNS','VB','RBR','interest6'
'relatively','high','uXsX','rates','compared','with','RB','JJ','NP','NNS','VBN','IN','interest6'
'a','60','%','in','cit','group','DT','AB','NN','IN','NP','NP','interest5'
'Xs','fees','and','costs','X','NULL','POS','NNS','CC','NNS','X','NULL','interest6'
'community','share','an','in','stability','and','NN','VBP','DT','IN','NN','CC','interest1'
'in','tokyo','X','rate','worries','were','IN','NP','X','NN','NNS','VBD','interest6'
'harmed','by','high','rates','X','NULL','VBN','IN','JJ','NNS','X','NULL','interest6'
'out','that','higher','rates','are','nXt','RP','DT','JJR','NNS','VBP','RB','interest6'
'the','west','german','rate','increase','encouraged','DT','JJ','JJ','NN','NN','VBD','interest6'
'refiners','attracted','buying','after','a','local','NNS','VBD','NN','IN','DT','JJ','interest1'
'payments','to','minority','at','1X37','billion','NNS','TO','NN','IN','AB','AB','interest5'
'NULL','pressure','on','rates','and','stiff','NULL','NN','IN','NNS','CC','JJ','interest6'
'taxes','and','minority','and','before','special','NNS','CC','NN','CC','IN','JJ','interest5'
'raised','its','official','rates','by','a','VBD','PPX','JJ','NNS','IN','DT','interest6'
'germany','Xs','benchmark','rates','to','their','NP','POS','JJ','NNS','TO','PPX','interest6'
'swapping','columbia','Xs','in','the','burbank','VBG','NP','POS','IN','DT','NP','interest5'
'million','from','its','in','the','films','AB','IN','PPX','IN','DT','NNS','interest5'
'200','million','before','X','depreciation','and','AB','AB','IN','X','NN','CC','interest6'
'NULL','profits','before','X','taxes','and','NULL','NNS','IN','X','NNS','CC','interest6'
'deductibility','of','certain','payments','on','originalXissue','NN','IN','JJ','NNS','IN','JJ','interest6'
'amount','plus','accrued','of','X','20','NN','CC','JJ','IN','X','AB','interest6'
'in','the','public','X','NULL','NULL','IN','DT','JJ','X','NULL','NULL','interest4'
'to','the','public','X','NULL','NULL','TO','DT','JJ','X','NULL','NULL','interest4'
'times','earnings','before','X','taxes','X','NNS','NNS','IN','X','NNS','X','interest6'
'be','in','the','of','shareholders','X','VB','IN','DT','IN','NNS','X','interest4'
'in','the','public','X','NULL','NULL','IN','DT','JJ','X','NULL','NULL','interest4'
'company','defaulted','in','payments','in','sept','NN','VBD','IN','NNS','IN','NP','interest6'
'increase','in','british','rates','X','the','NN','IN','JJ','NNS','X','DT','interest6'
'to','boost','key','rates','X','NULL','TO','VB','JJ','NNS','X','NULL','interest6'
'got','left','is','rates','X','X','VBN','JJ','VBZ','NNS','X','X','interest6'
'problem','by','raising','rates','so','consumers','NN','IN','VBG','NNS','IN','NNS','interest6'
'ratcheting','up','of','rates','will','produce','VBG','RP','IN','NNS','MD','VB','interest6'
'a','substantial','emotional','at','stake','X','DT','JJ','JJ','IN','NN','X','interest1'
'NULL','NULL','because','rates','on','credit','NULL','NULL','IN','NNS','IN','NN','interest6'
'of','principal','and','required','of','the','IN','NN','CC','VBN','IN','DT','interest6'
'pay','principal','and','in','gold','X','VB','NN','CC','IN','NN','X','interest6'
'the','lowest','possible','rate','X','NULL','DT','JJS','JJ','NN','X','NULL','interest6'
'the','lowest','governmental','rate','on','earth','DT','JJS','JJ','NN','IN','NN','interest6'
'goldXbacked','bonds','X','on','the','bonds','JJ','NNS','X','IN','DT','NNS','interest6'
'NULL','NULL','what','rate','would','soviet','NULL','NULL','WP','NN','MD','JJ','interest6'
'then','the','expected','rate','would','be','RB','DT','VBN','NN','MD','VB','interest6'
'take','proportionally','higher','rates','to','stabilize','VB','RB','JJR','NNS','TO','VB','interest6'
'have','X','an','payment','X','coming','VBP','X','DT','NN','X','VBG','interest6'
'at','a','lower','rate','X','in','IN','DT','JJR','NN','X','IN','interest6'
'and','the','bonus','rates','are','good','CC','DT','NN','NNS','VBP','JJ','interest6'
'people','who','express','in','the','certificates','NNS','WP','VBP','IN','DT','NNS','interest1'
'has','a','big','in','protecting','that','VBZ','DT','JJ','IN','VBG','DT','interest4'
'an','eyeXcatching','firstXyear','rate','of','12','DT','JJ','JJ','NN','IN','AB','interest6'
'NULL','they','offer','rates','that','are','NULL','PP','VBP','NNS','WDT','VBP','interest6'
'the','committee','Xs','X','NULL','NULL','DT','NN','POS','X','NULL','NULL','interest3'
'brokers','seeking','high','rates','contributed','to','NNS','VBG','JJ','NNS','VBD','TO','interest6'
'will','not','pay','periodically','X','NULL','MD','RB','VB','RB','X','NULL','interest6'
'X','with','current','bonds','due','1993X1999','X','IN','JJ','NNS','JJ','AB','interest6'
'NULL','NULL','NULL','on','the','bonds','NULL','NULL','NULL','IN','DT','NNS','interest6'
'must','make','up','shortfalls','in','cash','MD','VB','IN','NNS','IN','NN','interest6'
'foresters','express','great','in','knowing','about','NNS','VBP','JJ','IN','VBG','IN','interest1'
'fears','that','uXkX','rates','might','soon','NNS','IN','NP','NNS','MD','RB','interest6'
'said','a','prospective','rate','increase','by','VBD','DT','JJ','NN','NN','IN','interest6'
'NULL','NULL','investor','yesterday','centered','on','NULL','NULL','NN','NN','VBD','IN','interest1'
'NULL','but','investor','X','which','blossomed','NULL','CC','NN','X','WDT','VBD','interest1'
'in','west','german','rates','would','put','IN','JJ','JJ','NNS','MD','VB','interest6'
'buying','the','brewing','of','the','leisure','VBG','DT','NN','IN','DT','NN','interest5'
'only','because','of','income','X','NULL','RB','IN','IN','NN','X','NULL','interest6'
'NULL','NULL','rising','rates','also','hammered','NULL','NULL','VBG','NNS','RB','VBD','interest6'
'nXt','pay','any','until','they','mature','RB','VB','DT','IN','PP','VBP','interest6'
'months','of','rising','rates','X','NULL','NNS','IN','VBG','NNS','X','NULL','interest6'
'inflationary','signs','X','rates','will','remain','JJ','NNS','X','NNS','MD','VB','interest6'
'to','push','shortXterm','rates','higher','today','TO','VB','JJ','NNS','RBR','NN','interest6'
'to','pursue','personal','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'sales','to','meet','payments','are','being','NNS','TO','VB','NNS','VBP','VBG','interest6'
'incurred','the','hefty','expense','on','its','VBN','DT','JJ','NN','IN','PPX','interest6'
'more','than','academic','X','NULL','NULL','JJR','IN','JJ','X','NULL','NULL','interest1'
'maintaining','a','security','in','the','property','VBG','DT','NN','IN','DT','NN','interest5'
'studies','draw','more','at','colleges','this','NNS','VBP','JJR','IN','NNS','DT','interest1'
'out','of','sheer','X','X','says','IN','IN','JJ','X','X','VBZ','interest1'
'increase','in','german','rates','X','NULL','NN','IN','JJ','NNS','X','NULL','interest6'
'said','X','shortXterm','rates','have','picked','VBD','X','JJ','NNS','VBP','VBN','interest6'
'money','managers','think','rates','are','headed','NN','NNS','VBP','NNS','VBP','VBN','interest6'
'yield','assumes','the','rate','remains','unchanged','NN','VBZ','DT','NN','VBZ','JJ','interest6'
'about','3','%','X','NULL','NULL','RB','AB','NN','X','NULL','NULL','interest6'
'professional','and','personal','X','NULL','NULL','JJ','CC','JJ','X','NULL','NULL','interest3'
'to','buy','an','in','payXperXview','network','TO','VB','DT','IN','NP','NP','interest5'
'reXevaluate','his','own','and','goals','and','JJ','PPX','JJ','CC','NNS','CC','interest3'
'to','changes','in','rates','X','the','TO','NNS','IN','NNS','X','DT','interest6'
'on','by','high','rates','and','rising','RP','IN','JJ','NNS','CC','VBG','interest6'
'it','stirred','some','among','bottomXfishers','X','PP','VBD','DT','IN','NNS','X','interest1'
'exchange','for','an','in','the','reconstructed','NN','IN','DT','IN','DT','JJ','interest5'
'important','to','their','X','NULL','NULL','JJ','TO','PPX','X','NULL','NULL','interest4'
'perth','and','an','in','bell','resources','NP','CC','DT','IN','NP','NP','interest5'
'accrued','and','unpaid','X','together','with','JJ','CC','JJ','X','RB','IN','interest6'
'failed','to','make','payments','on','nearly','VBD','TO','VB','NNS','IN','RB','interest6'
'economy','and','foreign','rates','X','NULL','NN','CC','JJ','NNS','X','NULL','interest6'
'having','a','general','in','keeping','an','VBG','DT','JJ','IN','VBG','DT','interest1'
'policy','to','allow','rates','to','be','NN','TO','VB','NNS','TO','VB','interest6'
'possible','increase','in','rates','X','NULL','JJ','NN','IN','NNS','X','NULL','interest6'
'issue','is','stirring','among','safety','investigators','NN','VBZ','VBG','IN','NN','NNS','interest1'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'bank','said','high','rates','and','recent','NP','VBD','JJ','NNS','CC','JJ','interest6'
'and','foreign','annual','rates','below','are','CC','JJ','JJ','NNS','RB','VBP','interest6'
'X','plus','accrued','from','novX','15','X','CC','JJ','IN','NP','AB','interest6'
'a','revival','of','in','theology','and','DT','NN','IN','IN','NN','CC','interest1'
'vast','difference','in','X','gleefully','remarked','JJ','NN','IN','X','RB','VBD','interest1'
'are','unsecured','and','rates','are','at','VBP','JJ','CC','NNS','VBP','IN','interest6'
'at','a','reduced','rate','X','NULL','IN','DT','JJ','NN','X','NULL','interest6'
'to','exploit','congressional','in','bolar','X','TO','VB','JJ','IN','NP','X','interest1'
'our','study','of','X','X','a','PPX','NN','IN','X','X','DT','interest2'
'on','the','increasing','by','americans','in','IN','DT','VBG','IN','NPS','IN','interest1'
'have','expressed','an','in','obtaining','weapons','VBP','VBN','DT','IN','VBG','NNS','interest1'
'to','acquire','controlling','in','X','and','TO','VB','JJ','IN','X','CC','interest5'
'to','cut','shortXterm','rates','X','which','TO','VB','JJ','NNS','X','WDT','interest6'
'able','to','cut','rates','fast','enough','JJ','TO','VB','NNS','RB','RB','interest6'
'to','raise','key','rates','at','least','TO','VB','JJ','NNS','IN','JJS','interest6'
'NULL','NULL','higher','rates','abroad','tend','NULL','NULL','JJR','NNS','RB','VBP','interest6'
'in','the','best','of','mrX','wisner','IN','DT','JJS','IN','NP','NP','interest4'
'reported','by','the','earned','on','foreignXexchange','VBN','IN','DT','VBN','IN','NN','interest6'
'of','pushing','up','rates','from','march','IN','VBG','RP','NNS','IN','NP','interest6'
'closely','influenced','by','rates','because','purchases','RB','VBN','IN','NNS','IN','NNS','interest6'
'and','ford','Xs','in','the','european','CC','NP','POS','IN','DT','JJ','interest1'
'have','expressed','an','in','buying','a','VBP','VBN','DT','IN','VBG','DT','interest1'
'NULL','shortages','keep','pumped','up','in','NULL','NNS','VBP','VBD','RB','IN','interest1'
'NULL','the','average','rate','inched','up','NULL','DT','JJ','NN','VBD','IN','interest6'
'especially','those','with','in','a','declining','RB','DT','IN','IN','DT','VBG','interest5'
'new','york','franchise','for','X','1X9','NP','NP','NN','IN','X','AB','interest5'
'for','a','large','in','the','biggest','IN','DT','JJ','IN','DT','JJS','interest5'
'buy','metromedia','Xs','X','and','some','VB','NP','POS','X','CC','DT','interest5'
'50','%','voting','and','a','45X67','AB','NN','NN','CC','DT','AB','interest5'
'45X67','%','equity','in','the','new','AB','NN','NN','IN','DT','NP','interest5'
'50','%','voting','and','a','45','AB','NN','NN','CC','DT','AB','interest5'
'45','%','equity','in','the','franchise','AB','NN','NN','IN','DT','NN','interest5'
'X','has','expressed','in','attaining','the','X','VBZ','VBN','IN','VBG','DT','interest1'
'Xs','new','york','X','NULL','NULL','POS','NP','NP','X','NULL','NULL','interest5'
'yorkXbased','metromedia','Xs','X','and','bellsouth','JJ','NP','POS','X','CC','NP','interest5'
'acquire','metromedia','Xs','X','X','the','VB','NP','POS','X','X','DT','interest5'
'addition','to','its','in','las','vegas','NN','TO','PPX','IN','NP','NP','interest5'
'million','individuals','hold','in','partnerships','that','AB','NNS','VBP','IN','NNS','WDT','interest5'
'to','payers','of','and','dividends','X','TO','NNS','IN','CC','NNS','X','interest6'
'doctors','X','private','with','exempt','funds','NNS','POS','JJ','IN','JJ','NNS','interest3'
'for','its','equity','in','the','australian','IN','PPX','NN','IN','DT','JJ','interest5'
'a','possible','uXkX','rate','increase','X','DT','JJ','NP','NN','NN','X','interest6'
'issues','attracted','investor','because','of','strong','NNS','VBD','NN','IN','IN','JJ','interest1'
'of','higher','uXkX','rates','are','still','IN','JJR','NP','NNS','VBP','RB','interest6'
'the','effect','on','rates','and','federal','DT','NN','IN','NNS','CC','NP','interest6'
'attracted','considerable','investor','X','NULL','NULL','VBN','JJ','NN','X','NULL','NULL','interest1'
'indicated','that','their','is','as','investors','VBN','IN','PPX','VBZ','IN','NNS','interest1'
'february','and','no','charge','during','the','NP','CC','DT','NN','IN','DT','interest6'
'to','pursue','other','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'anticipation','of','an','rate','increase','in','NN','IN','DT','NN','NN','IN','interest6'
'to','pursue','other','X','NULL','NULL','TO','VB','JJ','X','NULL','NULL','interest3'
'his','11X4','%','in','the','company','PPX','AB','NN','IN','DT','NN','interest5'
'NULL','NULL','NULL','in','the','financial','NULL','NULL','NULL','IN','DT','JJ','interest1'
'by','optimism','that','rates','may','decline','IN','NN','IN','NNS','MD','VB','interest6'
'glimmers','of','retail','since','we','got','NNS','IN','JJ','IN','PP','VBD','interest1'
'may','consider','lowering','rates','as','a','MD','VB','VBG','NNS','IN','DT','interest6'
'speculation','about','lower','rates','X','NULL','NN','IN','JJR','NNS','X','NULL','interest6'
'outlook','on','lower','rates','X','according','NN','IN','JJR','NNS','X','VBG','interest6'
'NULL','NULL','shortXterm','rates','fell','sharply','NULL','NULL','JJ','NNS','VBD','RB','interest6'
'average','winning','net','cost','for','the','NN','VBG','JJ','NN','IN','DT','interest6'
'occidental','petroleum','has','in','oil','and','NP','NP','VBZ','IN','NN','CC','interest5'
'and','by','lower','cost','resulting','from','CC','IN','JJR','NN','VBG','IN','interest6'
'are','indications','of','in','specific','areas','VBP','NNS','IN','IN','NN','NNS','interest1'
'generated','the','most','X','NULL','NULL','VBD','DT','JJS','X','NULL','NULL','interest1'
'NULL','NULL','NULL','in','the','area','NULL','NULL','NULL','IN','DT','NN','interest1'
'Xs','happening','to','rates','in','general','VBZ','VBG','TO','NNS','IN','JJ','interest6'
'coX','for','its','in','five','offshore','NP','IN','PPX','IN','AB','JJ','interest5'
'losses','caused','by','payments','on','debt','NNS','VBN','IN','NNS','IN','NN','interest6'
'banks','on','the','from','loans','used','NNS','IN','DT','IN','NNS','VBN','interest6'
'that','postpone','cash','payments','X','NULL','WDT','VBP','NN','NNS','X','NULL','interest6'
'sell','its','cellular','in','the','southeast','VB','PPX','JJ','IN','DT','NP','interest5'
'mrX','bush','Xs','in','a','cw','NP','NP','POS','IN','DT','NP','interest1'
'X','uXsX','national','are','headed','for','X','NP','JJ','VBP','VBN','IN','interest4'
'of','the','insurance','of','cieX','de','IN','DT','NN','IN','NP','NP','interest5'
'and','end','speculative','that','has','led','CC','VB','JJ','WDT','VBZ','VBN','interest1'
'to','flurries','of','in','its','stock','TO','NNS','IN','IN','PPX','NN','interest1'
'Xs','muchXcoveted','insurance','in','the','hands','POS','JJ','NN','IN','DT','NNS','interest5'
'its','existing','french','to','the','new','PPX','VBG','JJ','TO','DT','JJ','interest5'
'fixed','rate','of','X','or','put','VBN','NN','IN','X','CC','VB','interest6'
'he','said','domestic','rates','have','dropped','PP','VBD','JJ','NNS','VBP','VBN','interest6'
'NULL','the','uXsX','lies','in','continuing','NULL','DT','NP','VBZ','IN','VBG','interest4'
'amerigas','Xs','industrialXgas','and','is','using','NP','POS','JJ','CC','VBZ','VBG','interest5'
'NULL','NULL','annualized','rates','on','certain','NULL','NULL','VBN','NNS','IN','JJ','interest6'
'generated','by','heavy','payments','and','depreciation','VBN','IN','JJ','NNS','CC','NN','interest6'
'rothschild','sold','its','as','general','partner','NP','VBD','PPX','IN','JJ','NN','interest5'
'to','raise','its','to','10','%','TO','VB','PPX','TO','AB','NN','interest5'
